"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.039873338E1,1.282317042E0,-1.984529972E0,4.904490113E-1,2.413138297E0
1.040267276E1,1.282317042E0,-1.984529972E0,4.904490113E-1,2.413138297E0
1.040661245E1,1.282317042E0,-1.984529972E0,4.904490113E-1,2.413138297E0
1.041055247E1,7.634450197E-1,-5.562800169E-1,-3.316200078E-1,1.001133150E0
1.041449224E1,7.634450197E-1,-5.562800169E-1,-3.316200078E-1,1.001133150E0
1.041843186E1,7.634450197E-1,-5.562800169E-1,-3.316200078E-1,1.001133150E0
1.042237163E1,7.634450197E-1,-5.562800169E-1,-3.316200078E-1,1.001133150E0
1.042631163E1,7.634450197E-1,-5.562800169E-1,-3.316200078E-1,1.001133150E0
1.043025248E1,4.033200145E-1,7.544389963E-1,2.814350128E-1,9.005836439E-1
1.043419194E1,4.033200145E-1,7.544389963E-1,2.814350128E-1,9.005836439E-1
1.043813194E1,4.033200145E-1,7.544389963E-1,2.814350128E-1,9.005836439E-1
1.044207186E1,4.033200145E-1,7.544389963E-1,2.814350128E-1,9.005836439E-1
1.044601126E1,4.033200145E-1,7.544389963E-1,2.814350128E-1,9.005836439E-1
1.044995102E1,-5.864580274E-1,1.156900048E0,8.049749732E-1,1.526543628E0
1.045389072E1,-5.864580274E-1,1.156900048E0,8.049749732E-1,1.526543628E0
1.045783104E1,-5.864580274E-1,1.156900048E0,8.049749732E-1,1.526543628E0
1.046177165E1,-5.864580274E-1,1.156900048E0,8.049749732E-1,1.526543628E0
1.046571219E1,-5.864580274E-1,1.156900048E0,8.049749732E-1,1.526543628E0
1.046965186E1,-7.690269947E-1,8.261680007E-1,5.625190139E-1,1.261104169E0
1.047359163E1,-7.690269947E-1,8.261680007E-1,5.625190139E-1,1.261104169E0
1.047753132E1,-7.690269947E-1,8.261680007E-1,5.625190139E-1,1.261104169E0
1.048147072E1,-7.690269947E-1,8.261680007E-1,5.625190139E-1,1.261104169E0
1.048540949E1,-7.690269947E-1,8.261680007E-1,5.625190139E-1,1.261104169E0
1.048934857E1,-7.343840003E-1,1.067710996E0,2.274180055E-1,1.315692053E0
1.049328849E1,-7.343840003E-1,1.067710996E0,2.274180055E-1,1.315692053E0
1.049722795E1,-7.343840003E-1,1.067710996E0,2.274180055E-1,1.315692053E0
1.050116788E1,-7.343840003E-1,1.067710996E0,2.274180055E-1,1.315692053E0
1.050510732E1,-7.343840003E-1,1.067710996E0,2.274180055E-1,1.315692053E0
1.050904671E1,-3.296380043E-1,1.607545972E0,-6.964750290E-1,1.782678527E0
1.051101550E1,-3.296380043E-1,1.607545972E0,-6.964750290E-1,1.782678527E0
1.051298672E1,-3.296380043E-1,1.607545972E0,-6.964750290E-1,1.782678527E0
1.052086641E1,-3.296380043E-1,1.607545972E0,-6.964750290E-1,1.782678527E0
1.052480610E1,-3.296380043E-1,1.607545972E0,-6.964750290E-1,1.782678527E0
1.052874602E1,2.320040017E-1,1.553742051E0,-1.844915032E0,2.423149128E0
1.053268571E1,2.320040017E-1,1.553742051E0,-1.844915032E0,2.423149128E0
1.053662548E1,2.320040017E-1,1.553742051E0,-1.844915032E0,2.423149128E0
1.054056518E1,2.320040017E-1,1.553742051E0,-1.844915032E0,2.423149128E0
1.054450510E1,2.320040017E-1,1.553742051E0,-1.844915032E0,2.423149128E0
1.054844487E1,1.242950037E-1,2.416300058E0,-2.051007986E0,3.171843152E0
1.055238419E1,1.242950037E-1,2.416300058E0,-2.051007986E0,3.171843152E0
1.055632419E1,1.242950037E-1,2.416300058E0,-2.051007986E0,3.171843152E0
1.056026357E1,1.242950037E-1,2.416300058E0,-2.051007986E0,3.171843152E0
1.056420334E1,1.242950037E-1,2.416300058E0,-2.051007986E0,3.171843152E0
1.056814295E1,-1.435810030E-1,3.817138910E0,-2.185461044E0,4.400841390E0
1.057208272E1,-1.435810030E-1,3.817138910E0,-2.185461044E0,4.400841390E0
1.057602234E1,-1.435810030E-1,3.817138910E0,-2.185461044E0,4.400841390E0
1.057996211E1,-1.435810030E-1,3.817138910E0,-2.185461044E0,4.400841390E0
1.058390204E1,-1.435810030E-1,3.817138910E0,-2.185461044E0,4.400841390E0
1.058784275E1,-1.435810030E-1,3.817138910E0,-2.185461044E0,4.400841390E0
1.059178213E1,6.842179894E-1,3.866430044E0,3.659650087E-1,3.943522021E0
1.059572175E1,6.842179894E-1,3.866430044E0,3.659650087E-1,3.943522021E0
1.059966089E1,6.842179894E-1,3.866430044E0,3.659650087E-1,3.943522021E0
1.060360112E1,6.842179894E-1,3.866430044E0,3.659650087E-1,3.943522021E0
1.060754027E1,2.955254078E0,2.201236963E0,2.665313959E0,4.547842272E0
1.061147996E1,2.955254078E0,2.201236963E0,2.665313959E0,4.547842272E0
1.061541958E1,2.955254078E0,2.201236963E0,2.665313959E0,4.547842272E0
1.061935904E1,2.955254078E0,2.201236963E0,2.665313959E0,4.547842272E0
1.062329841E1,2.955254078E0,2.201236963E0,2.665313959E0,4.547842272E0
1.062723803E1,2.955254078E0,2.201236963E0,2.665313959E0,4.547842272E0
1.063117741E1,1.447453976E0,5.215749741E-1,6.119327068E0,6.309780284E0
1.063511772E1,1.447453976E0,5.215749741E-1,6.119327068E0,6.309780284E0
1.063905718E1,1.447453976E0,5.215749741E-1,6.119327068E0,6.309780284E0
1.064299626E1,1.447453976E0,5.215749741E-1,6.119327068E0,6.309780284E0
1.064693527E1,1.447453976E0,5.215749741E-1,6.119327068E0,6.309780284E0
1.065087442E1,-3.720310032E-1,1.742462993E0,2.341881990E0,2.942617135E0
1.065481411E1,-3.720310032E-1,1.742462993E0,2.341881990E0,2.942617135E0
1.065875373E1,-3.720310032E-1,1.742462993E0,2.341881990E0,2.942617135E0
1.066269381E1,-3.720310032E-1,1.742462993E0,2.341881990E0,2.942617135E0
1.066663342E1,-3.720310032E-1,1.742462993E0,2.341881990E0,2.942617135E0
1.067057402E1,-1.576616049E0,4.570593834E0,2.976230085E-1,4.844029894E0
1.067451471E1,-1.576616049E0,4.570593834E0,2.976230085E-1,4.844029894E0
1.067845433E1,-1.576616049E0,4.570593834E0,2.976230085E-1,4.844029894E0
1.068239402E1,-1.576616049E0,4.570593834E0,2.976230085E-1,4.844029894E0
1.068633348E1,-1.576616049E0,4.570593834E0,2.976230085E-1,4.844029894E0
1.069027279E1,-3.030214071E0,7.136538982E0,5.847889781E-1,7.775240454E0
1.069421218E1,-3.030214071E0,7.136538982E0,5.847889781E-1,7.775240454E0
1.069815195E1,-3.030214071E0,7.136538982E0,5.847889781E-1,7.775240454E0
1.070209133E1,-3.030214071E0,7.136538982E0,5.847889781E-1,7.775240454E0
1.070603038E1,-3.030214071E0,7.136538982E0,5.847889781E-1,7.775240454E0
1.070996877E1,-3.743937016E0,9.346159935E0,2.242749929E-1,1.007065386E1
1.071390823E1,-3.743937016E0,9.346159935E0,2.242749929E-1,1.007065386E1
1.071784815E1,-3.743937016E0,9.346159935E0,2.242749929E-1,1.007065386E1
1.072178761E1,-3.743937016E0,9.346159935E0,2.242749929E-1,1.007065386E1
1.072572754E1,-3.743937016E0,9.346159935E0,2.242749929E-1,1.007065386E1
1.072966754E1,-4.126235962E0,1.065503597E1,-1.227738023E0,1.149186475E1
1.073360730E1,-4.126235962E0,1.065503597E1,-1.227738023E0,1.149186475E1
1.073754729E1,-4.126235962E0,1.065503597E1,-1.227738023E0,1.149186475E1
1.074148729E1,-4.126235962E0,1.065503597E1,-1.227738023E0,1.149186475E1
1.074542729E1,-4.126235962E0,1.065503597E1,-1.227738023E0,1.149186475E1
1.074936694E1,-4.516901970E0,6.623155117E0,-1.989956975E0,8.260055440E0
1.075330671E1,-4.516901970E0,6.623155117E0,-1.989956975E0,8.260055440E0
1.075724663E1,-4.516901970E0,6.623155117E0,-1.989956975E0,8.260055440E0
1.076118669E1,-4.516901970E0,6.623155117E0,-1.989956975E0,8.260055440E0
1.076512669E1,-4.516901970E0,6.623155117E0,-1.989956975E0,8.260055440E0
1.076906638E1,-4.424962997E0,2.276768923E0,-2.150782108E0,5.421239520E0
1.077300662E1,-4.424962997E0,2.276768923E0,-2.150782108E0,5.421239520E0
1.077694608E1,-4.424962997E0,2.276768923E0,-2.150782108E0,5.421239520E0
1.078088608E1,-4.424962997E0,2.276768923E0,-2.150782108E0,5.421239520E0
1.078482602E1,-4.424962997E0,2.276768923E0,-2.150782108E0,5.421239520E0
1.078876578E1,-4.290177822E0,-8.438360095E-1,-3.136961937E0,5.381283783E0
1.079270540E1,-4.290177822E0,-8.438360095E-1,-3.136961937E0,5.381283783E0
1.079664516E1,-4.290177822E0,-8.438360095E-1,-3.136961937E0,5.381283783E0
1.080058477E1,-4.290177822E0,-8.438360095E-1,-3.136961937E0,5.381283783E0
1.080452516E1,-4.290177822E0,-8.438360095E-1,-3.136961937E0,5.381283783E0
1.080846545E1,-3.690381050E0,-3.500804901E0,-2.962389946E0,5.886450666E0
1.081240515E1,-3.690381050E0,-3.500804901E0,-2.962389946E0,5.886450666E0
1.081634538E1,-3.690381050E0,-3.500804901E0,-2.962389946E0,5.886450666E0
1.082028568E1,-3.690381050E0,-3.500804901E0,-2.962389946E0,5.886450666E0
1.082422668E1,-3.690381050E0,-3.500804901E0,-2.962389946E0,5.886450666E0
1.082816660E1,-3.207406998E0,-6.211437225E0,6.795589924E-1,7.023618190E0
1.083210635E1,-3.207406998E0,-6.211437225E0,6.795589924E-1,7.023618190E0
1.083604658E1,-3.207406998E0,-6.211437225E0,6.795589924E-1,7.023618190E0
1.083998658E1,-3.207406998E0,-6.211437225E0,6.795589924E-1,7.023618190E0
1.084392666E1,-3.207406998E0,-6.211437225E0,6.795589924E-1,7.023618190E0
1.084786689E1,-2.825093985E0,-7.354734898E0,2.721481085E0,8.335450842E0
1.085180666E1,-2.825093985E0,-7.354734898E0,2.721481085E0,8.335450842E0
1.085574660E1,-2.825093985E0,-7.354734898E0,2.721481085E0,8.335450842E0
1.085968637E1,-2.825093985E0,-7.354734898E0,2.721481085E0,8.335450842E0
1.086362576E1,-2.825093985E0,-7.354734898E0,2.721481085E0,8.335450842E0
1.086756477E1,-2.971729994E0,-6.736976147E0,6.682720184E-1,7.393552208E0
1.087150354E1,-2.971729994E0,-6.736976147E0,6.682720184E-1,7.393552208E0
1.087544300E1,-2.971729994E0,-6.736976147E0,6.682720184E-1,7.393552208E0
1.087938302E1,-2.971729994E0,-6.736976147E0,6.682720184E-1,7.393552208E0
1.088332325E1,-2.971729994E0,-6.736976147E0,6.682720184E-1,7.393552208E0
1.088726325E1,-2.971729994E0,-6.736976147E0,6.682720184E-1,7.393552208E0
1.089120334E1,-3.693003893E0,-5.091582775E0,-1.797659993E0,6.541717998E0
1.089514357E1,-3.693003893E0,-5.091582775E0,-1.797659993E0,6.541717998E0
1.089908304E1,-3.693003893E0,-5.091582775E0,-1.797659993E0,6.541717998E0
1.090302271E1,-3.693003893E0,-5.091582775E0,-1.797659993E0,6.541717998E0
1.090696202E1,-3.693003893E0,-5.091582775E0,-1.797659993E0,6.541717998E0
1.091090148E1,-4.276886940E0,-4.854694843E0,-1.532250047E0,6.648880667E0
1.091484118E1,-4.276886940E0,-4.854694843E0,-1.532250047E0,6.648880667E0
1.091878080E1,-4.276886940E0,-4.854694843E0,-1.532250047E0,6.648880667E0
1.092272019E1,-4.276886940E0,-4.854694843E0,-1.532250047E0,6.648880667E0
1.092665934E1,-4.276886940E0,-4.854694843E0,-1.532250047E0,6.648880667E0
1.093059872E1,-4.744575024E0,-4.647430897E0,-1.634158969E0,6.839596599E0
1.093453780E1,-4.744575024E0,-4.647430897E0,-1.634158969E0,6.839596599E0
1.093847746E1,-4.744575024E0,-4.647430897E0,-1.634158969E0,6.839596599E0
1.094241707E1,-4.744575024E0,-4.647430897E0,-1.634158969E0,6.839596599E0
1.094635800E1,-4.744575024E0,-4.647430897E0,-1.634158969E0,6.839596599E0
1.095029900E1,-4.324316978E0,-5.051359177E0,9.000399709E-2,6.650116358E0
1.095423892E1,-4.324316978E0,-5.051359177E0,9.000399709E-2,6.650116358E0
