"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.406283510E-1,5.748799816E-2,-5.122800171E-2,-1.571259946E-1,1.749793024E-1
5.445723510E-1,5.748799816E-2,-5.122800171E-2,-1.571259946E-1,1.749793024E-1
5.485161200E-1,5.748799816E-2,-5.122800171E-2,-1.571259946E-1,1.749793024E-1
5.524598130E-1,5.748799816E-2,-5.122800171E-2,-1.571259946E-1,1.749793024E-1
5.564034280E-1,5.748799816E-2,-5.122800171E-2,-1.571259946E-1,1.749793024E-1
5.603472160E-1,4.378300160E-2,-6.405500323E-2,-1.301839948E-1,1.515515330E-1
5.642909080E-1,4.378300160E-2,-6.405500323E-2,-1.301839948E-1,1.515515330E-1
5.682348320E-1,4.378300160E-2,-6.405500323E-2,-1.301839948E-1,1.515515330E-1
5.721782980E-1,4.378300160E-2,-6.405500323E-2,-1.301839948E-1,1.515515330E-1
5.761222210E-1,4.378300160E-2,-6.405500323E-2,-1.301839948E-1,1.515515330E-1
5.800656060E-1,-1.078900043E-2,-1.038229987E-1,-1.578360051E-1,1.892295487E-1
5.840087700E-1,-1.078900043E-2,-1.038229987E-1,-1.578360051E-1,1.892295487E-1
5.879523850E-1,-1.078900043E-2,-1.038229987E-1,-1.578360051E-1,1.892295487E-1
5.918961540E-1,-1.078900043E-2,-1.038229987E-1,-1.578360051E-1,1.892295487E-1
5.958398470E-1,-1.078900043E-2,-1.038229987E-1,-1.578360051E-1,1.892295487E-1
5.997834620E-1,1.524699926E-1,-1.570519954E-1,-4.935000092E-2,2.243832670E-1
6.037271540E-1,1.524699926E-1,-1.570519954E-1,-4.935000092E-2,2.243832670E-1
6.076711540E-1,1.524699926E-1,-1.570519954E-1,-4.935000092E-2,2.243832670E-1
6.116152310E-1,1.524699926E-1,-1.570519954E-1,-4.935000092E-2,2.243832670E-1
6.155591540E-1,1.524699926E-1,-1.570519954E-1,-4.935000092E-2,2.243832670E-1
6.195029050E-1,8.401499689E-2,-1.146180034E-1,-4.995999858E-2,1.506380027E-1
6.234465970E-1,8.401499689E-2,-1.146180034E-1,-4.995999858E-2,1.506380027E-1
6.273905200E-1,8.401499689E-2,-1.146180034E-1,-4.995999858E-2,1.506380027E-1
6.313348610E-1,8.401499689E-2,-1.146180034E-1,-4.995999858E-2,1.506380027E-1
6.352783220E-1,8.401499689E-2,-1.146180034E-1,-4.995999858E-2,1.506380027E-1
6.392225530E-1,1.540999976E-3,-9.870599955E-2,-1.053519994E-1,1.443755270E-1
6.431660300E-1,1.540999976E-3,-9.870599955E-2,-1.053519994E-1,1.443755270E-1
6.471097220E-1,1.540999976E-3,-9.870599955E-2,-1.053519994E-1,1.443755270E-1
6.510540300E-1,1.540999976E-3,-9.870599955E-2,-1.053519994E-1,1.443755270E-1
6.549980200E-1,1.540999976E-3,-9.870599955E-2,-1.053519994E-1,1.443755270E-1
6.589422500E-1,-4.063799977E-2,-5.480099842E-2,-1.065889969E-1,1.265535883E-1
6.628860200E-1,-4.063799977E-2,-5.480099842E-2,-1.065889969E-1,1.265535883E-1
6.668300150E-1,-4.063799977E-2,-5.480099842E-2,-1.065889969E-1,1.265535883E-1
6.707742450E-1,-4.063799977E-2,-5.480099842E-2,-1.065889969E-1,1.265535883E-1
6.747182450E-1,-4.063799977E-2,-5.480099842E-2,-1.065889969E-1,1.265535883E-1
6.786616500E-1,-4.257300124E-2,-9.243799746E-2,-5.346399918E-2,1.149593103E-1
6.826062650E-1,-4.257300124E-2,-9.243799746E-2,-5.346399918E-2,1.149593103E-1
6.865508810E-1,-4.257300124E-2,-9.243799746E-2,-5.346399918E-2,1.149593103E-1
6.904948960E-1,-4.257300124E-2,-9.243799746E-2,-5.346399918E-2,1.149593103E-1
6.944392040E-1,-4.257300124E-2,-9.243799746E-2,-5.346399918E-2,1.149593103E-1
6.983835880E-1,-8.541200310E-2,-7.989999838E-3,-5.464199930E-2,1.017093824E-1
7.023278480E-1,-8.541200310E-2,-7.989999838E-3,-5.464199930E-2,1.017093824E-1
7.062719250E-1,-8.541200310E-2,-7.989999838E-3,-5.464199930E-2,1.017093824E-1
7.102162330E-1,-8.541200310E-2,-7.989999838E-3,-5.464199930E-2,1.017093824E-1
7.141608520E-1,-8.541200310E-2,-7.989999838E-3,-5.464199930E-2,1.017093824E-1
7.181048520E-1,-5.311999936E-3,-5.760999862E-3,-1.918109953E-1,1.919709988E-1
